27-04-2022      10:52          0       0.19     -60.24       9.08       9.05     -56.04      13.43      -4.70     -36.99       4.21      16.21     -70.30       5.29       2.86     -65.12       8.83     -10.48     -45.08      -0.41       9.97     -50.63      12.14      14.53     -45.68      16.97      -0.02     -29.68       7.48      23.38
27-04-2022      10:53          0       0.21     -60.25       8.91       9.12     -56.07      13.25      -4.70     -36.95       4.06      16.34     -70.33       5.13       2.91     -65.18       8.66     -10.48     -45.03      -0.62       9.97     -50.52      11.96      14.60     -45.60      16.78      -0.02     -29.70       7.33      23.52
27-04-2022      10:54          0       0.25     -60.28       8.72       9.17     -56.13      13.05      -4.73     -36.92       3.91      16.47     -70.37       4.96       2.94     -65.25       8.48     -10.48     -44.99      -0.80      10.00     -50.50      11.77      14.65     -45.61      16.57      -0.05     -29.76       7.18      23.67
27-04-2022      10:55          0       0.22     -60.32       8.53       9.22     -56.20      12.84      -4.76     -36.90       3.77      16.61     -70.41       4.80       2.98     -65.33       8.29     -10.48     -44.95      -0.98      10.04     -50.49      11.58      14.70     -45.63      16.35      -0.07     -29.84       7.03      23.81
27-04-2022      10:56          0       0.20     -60.36       8.34       9.27     -56.26      12.63      -4.78     -36.88       3.62      16.76     -70.45       4.60       3.01     -65.40       8.11     -10.49     -44.91      -1.16      10.08     -50.49      11.39      14.74     -45.65      16.13      -0.10     -29.91       6.88      23.95
27-04-2022      10:57          0       0.15     -60.40       8.15       9.32     -56.33      12.43      -4.81     -36.86       3.47      16.90     -70.49       4.41       3.05     -65.48       7.92     -10.49     -44.87      -1.34      10.12     -50.49      11.20      14.79     -45.67      15.92      -0.13     -29.99       6.73      24.10
27-04-2022      10:58          0       0.09     -60.44       7.96       9.37     -56.39      12.22      -4.84     -36.85       3.33      17.04     -70.54       4.21       3.08     -65.55       7.73     -10.50     -44.83      -1.54      10.15     -50.49      11.01      14.83     -45.69      15.70      -0.16     -30.07       6.58      24.24
27-04-2022      10:59          0       0.12     -60.48       7.77       9.41     -56.46      12.01      -4.87     -36.83       3.18      17.18     -70.58       4.01       3.12     -65.63       7.54     -10.51     -44.80      -1.73      10.19     -50.49      10.82      14.88     -45.71      15.48      -0.18     -30.14       6.42      24.39
27-04-2022      11:00          0       0.11     -60.52       7.58       9.46     -56.52      11.80      -4.89     -36.81       3.03      17.32     -70.62       3.82       3.15     -65.70       7.36     -10.51     -44.76      -1.93      10.23     -50.50      10.62      14.93     -45.74      15.27      -0.21     -30.22       6.27      24.53
27-04-2022      11:01          0       0.12     -60.56       7.39       9.51     -56.58      11.60      -4.92     -36.79       2.89      17.46     -70.66       3.62       3.19     -65.78       7.17     -10.52     -44.72      -2.12      10.27     -50.50      10.43      14.97     -45.76      15.05      -0.24     -30.29       6.12      24.67
